sunshine_station_name,record_date,sunshine_hours
Ambagan,2008/01/01,9.1
Ambagan,2009/01/01,8.4
Ambagan,2010/01/01,8.5
Ambagan,2011/01/01,7.3
Ambagan,2012/01/01,7.8
Ambagan,2013/01/01,8.6
Ambagan,2014/01/01,8.2
Ambagan,2015/01/01,0
Ambagan,2016/01/01,8.3
Ambagan,2017/01/01,8.4
Ambagan,2020/01/01,5.2
Ambagan,2022/01/01,8.3
Ambagan,2008/01/02,6.8
Ambagan,2009/01/02,8.6
Ambagan,2010/01/02,9.3
Ambagan,2011/01/02,8.5
Ambagan,2012/01/02,9.2
Ambagan,2013/01/02,3
Ambagan,2014/01/02,8.2
Ambagan,2015/01/02,9.3
Ambagan,2016/01/02,3.4
Ambagan,2017/01/02,8.5
Ambagan,2020/01/02,7.1
Ambagan,2022/01/02,8.5
Ambagan,2008/01/03,7.6
Ambagan,2009/01/03,7.2
Ambagan,2010/01/03,8.5
Ambagan,2011/01/03,10.2
Ambagan,2012/01/03,6.8
Ambagan,2013/01/03,10
Ambagan,2014/01/03,9.4
Ambagan,2015/01/03,9.3
Ambagan,2016/01/03,7.9
Ambagan,2017/01/03,9.3
Ambagan,2020/01/03,9.4
Ambagan,2022/01/03,10.1
Ambagan,2008/01/04,7.4
Ambagan,2009/01/04,9.8
Ambagan,2010/01/04,5.7
Ambagan,2011/01/04,9
Ambagan,2012/01/04,8.4
Ambagan,2013/01/04,6.5
Ambagan,2014/01/04,5.2
Ambagan,2015/01/04,7.1
Ambagan,2016/01/04,1.9
Ambagan,2017/01/04,7.9
Ambagan,2020/01/04,0
Ambagan,2022/01/04,9
Ambagan,2008/01/05,8.7
Ambagan,2009/01/05,9.3
Ambagan,2010/01/05,9.7
Ambagan,2011/01/05,11.4
Ambagan,2012/01/05,1.9
Ambagan,2013/01/05,7.3
Ambagan,2014/01/05,9.8
Ambagan,2015/01/05,1.7
Ambagan,2016/01/05,7.6
Ambagan,2017/01/05,9.8
Ambagan,2020/01/05,4.1
Ambagan,2022/01/05,8.3
Ambagan,2008/01/06,11.2
