district_id,district_name,division_id
BD1004,Barguna,BD10
BD1006,Barisal,BD10
BD1009,Bhola,BD10
BD1042,Jhalokati,BD10
BD1078,Patuakhali,BD10
BD1079,Pirojpur,BD10
BD2003,Bandarban,BD20
BD2012,Brahamanbaria,BD20
BD2013,Chandpur,BD20
BD2015,Chattogram,BD20
BD2019,Comilla,BD20
BD2022,Cox's Bazar,BD20
BD2030,Feni,BD20
BD2046,Khagrachhari,BD20
BD2051,Lakshmipur,BD20
BD2075,Noakhali,BD20
BD2084,Rangamati,BD20
BD3026,Dhaka,BD30
BD3029,Faridpur,BD30
BD3033,Gazipur,BD30
BD3035,Gopalganj,BD30
BD3048,Kishoreganj,BD30
BD3054,Madaripur,BD30
BD3056,Manikganj,BD30
BD3059,Munshiganj,BD30
BD3067,Narayanganj,BD30
BD3068,Narsingdi,BD30
BD3082,Rajbari,BD30
BD3086,Shariatpur,BD30
BD3093,Tangail,BD30
BD4001,Bagerhat,BD40
BD4018,Chuadanga,BD40
BD4041,Jessore,BD40
BD4044,Jhenaidah,BD40
BD4047,Khulna,BD40
BD4050,Kushtia,BD40
BD4055,Magura,BD40
BD4057,Meherpur,BD40
BD4065,Narail,BD40
BD4087,Satkhira,BD40
BD4539,Jamalpur,BD45
BD4561,Mymensingh,BD45
BD4572,Netrakona,BD45
BD4589,Sherpur,BD45
BD5010,Bogra,BD50
BD5038,Joypurhat,BD50
BD5064,Naogaon,BD50
BD5069,Natore,BD50
BD5070,Nawabganj,BD50
BD5076,Pabna,BD50
BD5081,Rajshahi,BD50
BD5088,Sirajganj,BD50
BD5527,Dinajpur,BD55
BD5532,Gaibandha,BD55
BD5549,Kurigram,BD55
BD5552,Lalmonirhat,BD55
BD5573,Nilphamari,BD55
BD5577,Panchagarh,BD55
BD5585,Rangpur,BD55
BD5594,Thakurgaon,BD55
BD6036,Habiganj,BD60
BD6058,Maulvibazar,BD60
BD6090,Sunamganj,BD60
BD6091,Sylhet,BD60
