year,indicator_name,indicator_code,indicator's_value,Country
2023,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.31112479,Bangladesh
2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.37064333,Bangladesh
2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.35154029,Bangladesh
2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.44372743,Bangladesh
2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.1902128,Bangladesh
2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.69447645,Bangladesh
2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.579473,Bangladesh
2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.63232696,Bangladesh
2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.38672505,Bangladesh
2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.90089882,Bangladesh
2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.97003918,Bangladesh
2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.06222632,Bangladesh
2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.12368441,Bangladesh
2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.99177998,Bangladesh
2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.03019129,Bangladesh
2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.08396712,Bangladesh
2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.18383652,Bangladesh
2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.29138818,Bangladesh
2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.5295383,Bangladesh
2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.62172544,Bangladesh
2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.66013674,Bangladesh
2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.85219329,Bangladesh
2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.23630637,Bangladesh
2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.21325958,Bangladesh
1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.87393409,Bangladesh
1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.47445648,Bangladesh
1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.94438043,Bangladesh
1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.65245448,Bangladesh
1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.01352078,Bangladesh
1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.89060459,Bangladesh
1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.56664362,Bangladesh
1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.35791657,Bangladesh
1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.28094031,Bangladesh
1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.78796958,Bangladesh
1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.22585849,Bangladesh
1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.10294231,Bangladesh
1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.70607667,Bangladesh
1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.13758931,Bangladesh
1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.03003764,Bangladesh
1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.28355228,Bangladesh
