division_id,Division,District_id,district,period_number,start_date,Last date,cropland_flooded_sq_km,cropland_flooded_ha,total_area_flooded_sq_km,total_area_flooded_ha,pct_of_cropland_flooded,pct_of_total_area_flooded,population_exposed
BD10,Barisal,BD1004,Barguna,55,4/1/2026,4/15/2026,8.08,808,74.52,7452,1.016704067,5.105152011,23878
BD10,Barisal,BD1006,Barisal,55,4/1/2026,4/15/2026,37.63,3763,205.43,20543,3.96345852,8.491727631,119126
BD10,Barisal,BD1009,Bhola,55,4/1/2026,4/15/2026,23.96,2396,181.76,18176,2.972027105,8.5874107,114610
BD10,Barisal,BD1042,Jhalokati,55,4/1/2026,4/15/2026,6.35,635,43.35,4335,2.04041798,5.393792078,23617
BD10,Barisal,BD1078,Patuakhali,55,4/1/2026,4/15/2026,30.18,3018,205.86,20586,2.006242791,7.247905991,58844
BD10,Barisal,BD1079,Pirojpur,55,4/1/2026,4/15/2026,9.94,994,84.59,8459,1.941878333,6.124675519,39457
BD20,Chattogram,BD2003,Bandarban,55,4/1/2026,4/15/2026,0.06,6,1.42,142,0.074962519,0.028623538,136
BD20,Chattogram,BD2012,Brahamanbaria,55,4/1/2026,4/15/2026,8.08,808,24.31,2431,0.541022285,1.152203562,14255
BD20,Chattogram,BD2013,Chandpur,55,4/1/2026,4/15/2026,16.82,1682,60.6,6060,2.64625558,3.771081561,40913
BD20,Chattogram,BD2015,Chattogram,55,4/1/2026,4/15/2026,26.51,2651,102.33,10233,2.006479932,2.114969191,95596
BD20,Chattogram,BD2019,Comilla,55,4/1/2026,4/15/2026,8.11,811,24.51,2451,0.439676316,0.724902065,36346
BD20,Chattogram,BD2022,Cox's Bazar,55,4/1/2026,4/15/2026,78.13,7813,259.73,25973,13.70951893,11.06788478,266170
BD20,Chattogram,BD2030,Feni,55,4/1/2026,4/15/2026,10.89,1089,35.53,3553,2.452006213,3.589936078,21980
BD20,Chattogram,BD2046,Khagrachhari,55,4/1/2026,4/15/2026,0.11,11,1.41,141,0.051286543,0.045417548,352
BD20,Chattogram,BD2051,Lakshmipur,55,4/1/2026,4/15/2026,10.86,1086,55.7,5570,2.297113598,4.106701552,65017
BD20,Chattogram,BD2075,Noakhali,55,4/1/2026,4/15/2026,37.96,3796,199.28,19928,3.282900207,6.833839255,93748
BD20,Chattogram,BD2084,Rangamati,55,4/1/2026,4/15/2026,2.14,214,64.58,6458,0.978197331,1.028076575,10518
BD30,Dhaka,BD3026,Dhaka,55,4/1/2026,4/15/2026,2.93,293,19.74,1974,0.454299197,1.2182562,45725
BD30,Dhaka,BD3029,Faridpur,55,4/1/2026,4/15/2026,9.36,936,24.07,2407,0.700001065,1.075349145,15923
BD30,Dhaka,BD3033,Gazipur,55,4/1/2026,4/15/2026,6.8,680,17.28,1728,1.01113915,0.864196105,24577
BD30,Dhaka,BD3035,Gopalganj,55,4/1/2026,4/15/2026,24.45,2445,39.05,3905,2.216436386,2.428798537,14838
BD30,Dhaka,BD3048,Kishoreganj,55,4/1/2026,4/15/2026,30.24,3024,62.83,6283,1.480360033,2.221424022,37235
BD30,Dhaka,BD3054,Madaripur,55,4/1/2026,4/15/2026,4.02,402,9.79,979,0.571148557,0.788919649,5743
BD30,Dhaka,BD3056,Manikganj,55,4/1/2026,4/15/2026,27.71,2771,87.75,8775,3.349525912,5.813920859,48813
BD30,Dhaka,BD3059,Munshiganj,55,4/1/2026,4/15/2026,5.51,551,31.08,3108,0.989615813,3.041510085,19676
BD30,Dhaka,BD3067,Narayanganj,55,4/1/2026,4/15/2026,1.95,195,23.45,2345,0.644670137,3.037989925,24256
BD30,Dhaka,BD3068,Narsingdi,55,4/1/2026,4/15/2026,11.1,1110,47.57,4757,1.925139582,3.704764504,31213
BD30,Dhaka,BD3082,Rajbari,55,4/1/2026,4/15/2026,6.28,628,40.48,4048,0.94822914,3.244074051,36727
BD30,Dhaka,BD3086,Shariatpur,55,4/1/2026,4/15/2026,19.52,1952,67.77,6777,2.931967642,5.22522103,50867
BD30,Dhaka,BD3093,Tangail,55,4/1/2026,4/15/2026,17.73,1773,46.45,4645,0.948046212,1.251458847,39839
BD40,Khulna,BD4001,Bagerhat,55,4/1/2026,4/15/2026,150.19,15019,677.98,67798,14.67499903,17.11398401,189733
BD40,Khulna,BD4018,Chuadanga,55,4/1/2026,4/15/2026,4.01,401,6.57,657,0.605767059,0.514359514,4037
BD40,Khulna,BD4041,Jessore,55,4/1/2026,4/15/2026,38.74,3874,126.54,12654,2.548831643,4.482278977,64321
BD40,Khulna,BD4044,Jhenaidah,55,4/1/2026,4/15/2026,8.91,891,14.93,1493,0.714972372,0.696815179,8711
BD40,Khulna,BD4047,Khulna,55,4/1/2026,4/15/2026,150.99,15099,795.48,79548,12.16073127,20.18156016,190554
BD40,Khulna,BD4050,Kushtia,55,4/1/2026,4/15/2026,13.05,1305,31.73,3173,1.38707196,1.788168445,16425
BD40,Khulna,BD4055,Magura,55,4/1/2026,4/15/2026,3.75,375,7.42,742,0.531320843,0.64614171,3897
BD40,Khulna,BD4057,Meherpur,55,4/1/2026,4/15/2026,4.07,407,5.49,549,0.871707516,0.694747236,3456
BD40,Khulna,BD4065,Narail,55,4/1/2026,4/15/2026,19.33,1933,48.12,4812,2.903256814,4.423633434,22994
BD40,Khulna,BD4087,Satkhira,55,4/1/2026,4/15/2026,105.95,10595,860.31,86031,10.46905765,23.35205402,262381
BD45,Mymensingh,BD4539,Jamalpur,55,4/1/2026,4/15/2026,10.27,1027,37.53,3753,0.709682386,1.639884337,23471
