Union_name,Mouza_name
Satmara,Satmara
Boda,Boda
Gurai,Gurai
Baliadanga,Baliadanga
Salander,Salander
Jamalpur,Fulbaria
Birgong,Kbirashat
Ranisanwail,Ranisanwail
Sibrampur,Sibrampur
Parbatipur,Parbatipur
Hakimpur,Hakimpur
Chilahati,Chilahati
Nilphamari,Nilphamari
Barakhta,Barakhta
Jaldhaka,Jaldhaka
Rangipur,Rangipur
Lalmonihat,Lalmonihat
Nagieshwari,Nagieshwari
Ulipur,Ulipur
Bamandaga,Bamandaga
Boalia,Boalia
Gabindagons,Gabindagons
Madergonj,Madergonj
Santahar,Santahar
Giokul,Giokul
Patnitala,Patnitala
Manda,Manda
,Burirchar
Rahandur,Rahandur
Shibgong,Shibgong
Giodagari,Giodagari
Sapura,Sapura
Charghat,Charghat
Natore,Natore
Singra,Singra
Lalpur,Lalpur
Roygong,Roygong
Sirjgong,Sirjgong
Chatmohur,Chatmohur
Pabna,Pabna
Sujanager,Sujanager
Nagierbari,Nagierbari
Chukaibari,Batheshasaria
Pragpur,Pragpur
Haluagher,Haluaghatthana Compn
Vharamara,Vharamara
Kushtia,Kushtia
Sherpur,
Meherpur,Meherpur
Sharishabari,Sharishabari
Darsana,Darsana
Sadar,Bagmera
Jhinaidha,Jhinaidha
Sadar,Netrokona
Magura,Magura
Goital,Kishorgorj
Jessore,Jessore
Saltia,Sulhasia
Narail,Narail
Bhairab,Bhairab Rly St
Godkhali,Godkhali
Madhupur,Madhupur
Khulna,Khulna
Sadar,Bepari Para
Satkhira,Satkhira
Baithgram,Gurail
Chalna,Chalna
Sreepur,Sreepur
Bagierhat,Bagierhat
Narshingdi,Norshindi Dak Hangloo
Khalishpur,Khalishpur
Motijheel,Pwd Colony
,Kalukhau
,Municipality
,Municipal
,Bhatiapara
Municipality,Gopalganj
Municipality,Madaripur
,Barisal
Municipality,Patuakhali
Bhaishakul,Bhaishakul T Inst
Mohammedpur,Mohammedpur
Gohira,UC Office
Battali,Battali
Shaktala,Shaktala
Daudkandi,Daudkandi Bazar
Nabaratpur,Nabaratpur
Aligonj,Aligonj H complex
Shologhar,Shologhar
Sonapur,Sonapur
Pachgadria,Feni Rest House
PS,Miraswarai
Hathajani,University
Chandgown,Chandgown
Anwara,Thana Parishad Office
Satkania,Satkania
,BWDB rest house
Ukhia,Ukhia Bazar
Rahamatpur,Rahamatpur
Gorukghata,Gorukghata
Baraghope,Baraghope
BWDB Guest house,BWDB Guest house
Railway station,Railway station
Kasimpur,Kasimpur
Chunarughat Bazar,Chunarughat Bazar
Rajanagar,Rajanagar
Sultanpur,Sultanpur
