thana_name,upzila_name
Lakshmipur Sadar,Lakshmipur Sadar
Nawabganj Sadar,Chapai Nawabganj Sadar
Gomastapur,Gomastapur
Raipur (L),Raipur
Ramganj,Ramganj
Faridpur Sadar,Faridpur
Nachole,Nachole
Shibganj (N),Shibganj
Chatkhil,Chatkhil
Tetulia,Tetulia
Boda,Boda
Mirzapur,Mirzapur
Baliadangi,Baliadangi
Thakurgaon Sadar,Thakurgaon Sadar
Jamalpur Sadar,Jamalpur Sadar
Birganj,Birganj
Ranisankail,Ranisankail
Dinajpur Sadar,Dinajpur Sadar
Parbatipur,Parbatipur
Hakimpur,Hakimpur
Domar,Domar
Nilphamari Sadar,Nilphamari Sadar
Hatibandha,Hatibandha
Jaldhaka,Jaldhaka
Rangpur Sadar,Rangpur Sadar
Lalmonirhat Sadar,Lalmonirhat Sadar
Nageshwari,Nageshwari
Ulipur,Ulipur
Sundarganj,Sundarganj
Gaibandha Sadar,Gaibandha Sadar
Gobindaganj,Gobindaganj
Jaipurhat Sadar,Joypurhat Sadar
Adamdighi,Adamdighi
Bogra Sadar,Bogra Sadar
Patnitala,Patnitala
Manda,Manda
Mathbaria,Mathbaria
Godagari,Godagari
Rajpara,Rajshahi Sadar
Charghat,Charghat
Natore Sadar,Natore Sadar
Singra,Singra
Lalpur,Lalpur
Raiganj,Raiganj
Sirajganj Sadar,Sirajganj Sadar
Chatmohar,Chatmohar
Pabna Sadar,Pabna Sadar
Sujanagar,Sujanagar
Bera,Bera
Dewanganj,Dewanganj
Daulatpur (Ku),Daulatpur
Haluaghat,Haluaghat
Bheramara,Bheramara
Kushtia Sadar,Kushtia Sadar
Sherpur,Sherpur
Meherpur Sadar,Meherpur Sadar
Sarishabari,Sarishabari
Chuadanga Sadar,Chuadanga Sadar
Mymensingh Sadar,Mymensingh Sadar
Jhenaidah Sadar,Jhenaidah Sadar
Netrokona Sadar,Netrokona Sadar
Magura Sadar,Magura Sadar
Kishoreganj Sadar,Kishoreganj Sadar
Jessore Sadar,Jessore Sadar
Gafargaon,Gafargaon
Narail Sadar,Narail Sadar
Bhairab,Bhairab
Jhikargachha,Jhikargachha
Madhupur,Madhupur
Khulna Sadar,Khulna Sadar
Tangail Sadar,Tangail Sadar
Satkhira Sadar,Satkhira Sadar
Bagerhat Sadar,Bagerhat Sadar
Sripur,Sreepur
Narsingdi Sadar,Narsingdi Sadar
Motijheel,Dhaka Sadar
Pangsha,Pangsha
Rajbari Sadar,Rajbari Sadar
Kashiani,Kashiani
Gopalganj Sadar,Gopalganj Sadar
Madaripur Sadar,Madaripur Sadar
Barisal Sadar,Barisal Sadar
Patuakhali Sadar,Patuakhali Sadar
Munshiganj Sadar,Munshiganj Sadar
Mohammadpur (D),Dhaka Sadar
Anowara,Anowara
Comilla Sadar,Cumilla Sadar
Daudkandi,Daudkandi
Laksam,Laksam
Hajiganj,Hajiganj
Chandpur Sadar,Chandpur Sadar
Noakhali Sadar,Noakhali Sadar
Feni Sadar,Feni Sadar
Mirsharai,Mirsharai
Hathazari,Hathazari
Chandgaon,Chittagong Sadar
Satkania,Satkania
Cox's Bazar Sadar,Cox's Bazar Sadar
Ukhia,Ukhia
Sandwip,Sandwip
Maheshkhali,Maheshkhali
Kutubdia,Kutubdia
Akhaura,Akhaura
Muradnagar,Muradnagar
Chunarughat,Chunarughat
Habiganj Sadar,Habiganj Sadar
Maulvi Bazar Sadar,Maulvibazar Sadar
Sylhet Sadar,Sylhet Sadar
Shiddirganj,Demra
Khoksa,Khoksa
Chhagalnaiya,Chhagalnaiya
Sonargaon,Sonargaon
Manikganj Sadar,Manikganj Sadar
Dhamrai,Dhamrai
Keraniganj,Keraniganj
Dighalia,Dighalia
Mohammadpur (M),Mohammadpur
Mongla,Mongla
Sreepur (M),Sreepur
Chaugachha,Chaugachha
Alamdanga,Alamdanga
Gosairhat,Gosairhat
Dhaka,Dhaka Sadar
Rupganj,Rupganj
Araihazar,Araihazar
Fatulla,Narayanganj Sadar
Singair,Singair
Narayanganj Sadar,Narayanganj Sadar
Bandar,Narayanganj Sadar
Shibalaya,Shibalaya
Daulatpur (M),Daulatpur
Harirampur,Harirampur
Ghior,Ghior
Saturia,Saturia
Savar,Savar
Dohar,Dohar
Nawabganj (Dh),Nawabganj
Phultala,Phultala
Batiaghata,Batiaghata
Paikgachha,Paikgachha
Terokhada,Terokhada
Dacope,Dacope
Rupsa,Rupsa
Khulna Metro,Khulna Sadar
Dumuria,Dumuria
Fakirhat,Fakirhat
Kaliganj (S),Kaliganj
Debhata,Debhata
Mollahat,Mollahat
Rampal,Rampal
Shalikha,Shalikha
Kalaroa,Kalaroa
Shyamnagar,Shyamnagar
Tala,Tala
Assasuni,Assasuni
Chitalmari,Chitalmari
