Union_name,thana_name
Mandari,Lakshmipur Sadar
Pourashava Parisad,Lakshmipur Sadar
Parbatipur,Parbatipur
Barogharia,Nawabganj Sadar
Maharajpur,Nawabganj Sadar
Jhilim,Nawabganj Sadar
Shakchar,Lakshmipur Sadar
Dalal Bazar,Lakshmipur Sadar
Dakshin Hamchadi,Lakshmipur Sadar
Uttar Hamchadi,Lakshmipur Sadar
Parbatinagar,Lakshmipur Sadar
Raipur,Raipur (L)
Bangakhan,Lakshmipur Sadar
Baksipur,Lakshmipur Sadar
Dattapara,Lakshmipur Sadar
Hajirpara,Lakshmipur Sadar
Uttar Joypur,Lakshmipur Sadar
Chandraganj,Lakshmipur Sadar
Charsai,Lakshmipur Sadar
Dighali,Lakshmipur Sadar
Kushakhali,Lakshmipur Sadar
Bhabaniganj,Lakshmipur Sadar
Laharkandi,Lakshmipur Sadar
Char Ruhita,Lakshmipur Sadar
Lakshmipur Paurashava,Lakshmipur Sadar
Chandipur,Ramganj
Faridpur Paurashava,Faridpur Sadar
Ambikapur,Faridpur Sadar
Aliabad,Faridpur Sadar
Kaijuri,Faridpur Sadar
Kanaipur,Faridpur Sadar
Greda,Faridpur Sadar
Char Madhabdia,Faridpur Sadar
Uttar Channel,Faridpur Sadar
Ishan Gopalpur,Faridpur Sadar
Majchar,Faridpur Sadar
Krishnanagar,Faridpur Sadar
Decreer Char,Faridpur Sadar
Nawabganj Paurashava,Nawabganj Sadar
Baliadanga,Nawabganj Sadar
Ranihati,Nawabganj Sadar
Gobratala,Nawabganj Sadar
Sundorpur,Nawabganj Sadar
Narayandpur,Nawabganj Sadar
Islampur,Nawabganj Sadar
Debinagar,Nawabganj Sadar
Char Bagadanga,Nawabganj Sadar
Shajahanpur,Nawabganj Sadar
Alatuli,Nawabganj Sadar
Nirzampur,Nachole
Char Anupnagar,Nawabganj Sadar
Binodpur,Shibganj (N)
Shabazpur,Shibganj (N)
Mankasa,Shibganj (N)
Shyampur,Shibganj (N)
Durlabpur,Shibganj (N)
Kansat,Shibganj (N)
Salrajitpur,Shibganj (N)
Mabarakbur,Shibganj (N)
Shibganj,Shibganj (N)
Dhainagar,Shibganj (N)
Nayanobhanga,Shibganj (N)
Panka,Shibganj (N)
Uzirpur,Shibganj (N)
Nawabganj,Nawabganj Sadar
Ch Nawabganj,Nawabganj Sadar
Dhinagar,Shibganj (N)
Chatkil,Chatkhil
Dighirpar,Chatkhil
Pachgaon,Chatkhil
Satmara,Tetulia
Boda,Boda
Gurai,Mirzapur
Salander,Thakurgaon Sadar
Jamalpur,Jamalpur Sadar
Birgong,Birganj
Ranisanwail,Ranisankail
Sibrampur,Dinajpur Sadar
Hakimpur,Hakimpur
Chilahati,Domar
Nilphamari,Nilphamari Sadar
Barakhta,Hatibandha
Jaldhaka,Jaldhaka
Rangipur,Rangpur Sadar
Lalmonihat,Lalmonirhat Sadar
Nagieshwari,Nageshwari
Ulipur,Ulipur
Bamandaga,Sundarganj
Boalia,Gaibandha Sadar
Gabindagons,Gobindaganj
Madergonj,Jamalpur Sadar
Santahar,Adamdighi
Giokul,Bogra Sadar
Patnitala,Patnitala
Manda,Manda
Rahandur,Mathbaria
Shibgong,Shibganj (B)
Giodagari,Godagari
Sapura,Rajpara
Charghat,Charghat
Natore,Natore Sadar
Singra,Singra
Lalpur,Lalpur
Roygong,Raiganj
Sirjgong,Sirajganj Sadar
Chatmohur,Chatmohar
Pabna,Pabna Sadar
Sujanager,Sujanagar
Nagierbari,Bera
Chukaibari,Dewanganj
Pragpur,Daulatpur (Ku)
Haluagher,Haluaghat
Vharamara,Bheramara
Kushtia,Kushtia Sadar
Sherpur,Sherpur Sadar
Meherpur,Meherpur Sadar
Sharishabari,Sarishabari
Darsana,Chuadanga Sadar
Sadar,Mymensingh Sadar
Jhinaidha,Jhenaidah Sadar
Magura,Magura Sadar
Goital,Kishoreganj Sadar
Jessore,Jessore Sadar
Saltia,Gafargaon
