upazila_name,district_id
Lama,BD2003
Thanchi,BD2003
Alikadam,BD2003
Betagi,BD1004
Akhaura,BD2012
Nabinagar,BD2012
Sarail,BD2012
Hajiganj,BD2013
Matlab Dakshin / Matlab Uttar,BD2013
Banshkhali,BD2015
Fatikchhari,BD2015
Mirsharai,BD2015
Rangunia,BD2015
Chakaria,BD2022
Maheshkhali,BD2022
Ramu,BD2022
Teknaf,BD2022
Chauddagram,BD2019
Debidwar,BD2019
Dhamrai,BD3026
Mirpur,BD3026
Savar,BD3026
Uttara,BD3026
Madhupur,BD3093
Sadarghat,BD2015 / BD3026
Chhagalnaiya,BD2030
Fulchhari,BD5532
Gopalganj Sadar,BD3035
Sreepur,BD3033 / BD4055
Bahubal,BD6036
Baniachong,BD6036
Chunarughat,BD6036
Madhabpur,BD6036
Lakhai,BD6036
Islampur,BD4539
Melandaha,BD4539
Sarishabari,BD4539
Dighinala,BD2046
Ramgarh,BD2046
Astagram,BD3048
Bhairab,BD3048
Itna,BD3048
Karimganj,BD3048
Raumari,BD5549
Kamalnagar,BD2051
Ramgati,BD2051
Shibpur,BD3068
Raipura,BD3068
Atpara,BD4572
Durgapur,BD4572
Kendua,BD4572
Madan,BD4572
Mohanganj,BD4572
Begumganj,BD2075
Dimla,BD5573
Hatiya,BD2075
Ishwardi,BD5076
Mirzaganj,BD1078
Boalia,BD5081
Godagari,BD5081
Jaintiapur,BD6091
Kanaighat,BD6091
Gowainghat,BD6091
Zakiganj,BD6091
Bhanugach / Maulvibazar,BD6058
Delduar,BD3093
Ghatail,BD3093
Kalihati,BD3093
Mirzapur,BD3093
Mollahat,BD4001
Mongla,BD4001
Rampal,BD4001
Sarankhola,BD4001
Amtali,BD1004
Babuganj,BD1006
Bakerganj,BD1006
Banaripara,BD1006
Hizla,BD1006
Muladi,BD1006
Wazirpur,BD1006
Manpura,BD1009
Lalmohan,BD1009
Dhunot,BD5010
Kahaloo,BD5010
Damurhuda,BD4018
Bhurungamari,BD5549
Gangni,BD4057
Sariakandi,BD5010
