Sample_ID,Sample_Field_ID,Date,Lat_Deg,Long_Deg,Well_Type,Well_Depth_m,Division,District,Thana,Union,Mouza,element_symbol,element_unit,measured_value
S98_01785,SAT-1,1998/07/23,26.479,88.514,HTW,9,Rajshahi,Panchagarh,Tetulia,Satmara,Satmara,As,ug/L,1
S98_01786,130DA-2,,25.7,88.5,HTW,15,Rajshahi,Panchagarh,Boda,Boda,Boda,As,ug/L,2.2
S98_01787,TA-2/B,1998/07/20,24.088,90.17,HTW,37,Dhaka,Tangail,Mirzapur,Gurai,Gurai,As,ug/L,1.1
S98_01788,BALI-3,1998/07/23,26.083,88.279,HTW,18,Rajshahi,Thakurgaon,Baliadangi,Baliadanga,Baliadanga,As,ug/L,1.1
S98_01789,SALN-4,1998/07/23,26.054,88.533,HTW,37,Rajshahi,Thakurgaon,Thakurgaon Sadar,Salander,Salander,As,ug/L,< 0.5
S98_01790,JA-4/B,1998/07/19,24.91,89.946,HTW,26,Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur,Fulbaria,As,ug/L,1.7
S98_01791,KABIR-5,1998/07/24,25.903,88.6,HTW,30,Rajshahi,Dinajpur,Birganj,Birgong,Kbirashat,As,ug/L,< 0.5
S98_01792,RANI-6,1998/07/23,25.901,88.254,HTW,30,Rajshahi,Thakurgaon,Ranisankail,Ranisanwail,Ranisanwail,As,ug/L,0.8
S98_01793,SIBRM-7,1998/07/24,25.665,88.652,HTW,18,Rajshahi,Dinajpur,Dinajpur Sadar,Sibrampur,Sibrampur,As,ug/L,< 0.5
S98_01794,PARBT-8,1998/07/24,25.653,88.915,HTW,20,Rajshahi,Dinajpur,Parbatipur,Parbatipur,Parbatipur,As,ug/L,0.8
S98_01795,HAKM-9,1998/07/22,25.288,89.021,HTW,21,Rajshahi,Dinajpur,Hakimpur,Hakimpur,Hakimpur,As,ug/L,0.9
S98_01796,CHIL-10,1998/07/25,26.1,88.8,HTW,24,Rajshahi,Nilphamari,Domar,Chilahati,Chilahati,As,ug/L,< 0.5
S98_01797,NIL-11,1998/07/24,25.9,88.8,HTW,18,Rajshahi,Nilphamari,Nilphamari Sadar,Nilphamari,Nilphamari,As,ug/L,1.9
S98_01798,BRUT-12,1998/07/25,26.203,89.11,HTW,,Rajshahi,Lalmonirhat,Hatibandha,Barakhta,Barakhta,As,ug/L,< 0.5
S98_01799,JAL-13,1998/07/25,25.931,88.838,HTW,27,Rajshahi,Nilphamari,Jaldhaka,Jaldhaka,Jaldhaka,As,ug/L,< 0.5
S98_01800,RANG-14,1998/07/26,25.752,89.253,HTW,18,Rajshahi,Rangpur,Rangpur Sadar,Rangipur,Rangipur,As,ug/L,< 0.5
S98_01801,LALM-15,1998/07/25,25.913,89.436,HTW,14,Rajshahi,Lalmonirhat,Lalmonirhat Sadar,Lalmonihat,Lalmonihat,As,ug/L,4
S98_01802,NAGUR-16,1998/07/26,25.965,89.671,HTW,18,Rajshahi,Kurigram,Nageshwari,Nagieshwari,Nagieshwari,As,ug/L,< 0.5
S98_01803,ULI-17,1998/07/26,25.653,89.623,HTW,18,Rajshahi,Kurigram,Ulipur,Ulipur,Ulipur,As,ug/L,0.6
S98_01804,BAMAN,1998/07/26,25.532,89.446,,18,Rajshahi,Gaibandha,Sundarganj,Bamandaga,Bamandaga,As,ug/L,< 0.5
S98_01805,BOA-19,1998/07/27,25.318,89.55,HTW,18,Rajshahi,Gaibandha,Gaibandha Sadar,Boalia,Boalia,As,ug/L,< 0.5
S98_01806,GABIN-20,1998/07/27,25.134,89.387,,12,Rajshahi,Gaibandha,Gobindaganj,Gabindagons,Gabindagons,As,ug/L,< 0.5
S98_01807,MADR-21,1998/07/22,25.109,89.036,HTW,15,Rajshahi,Jaipurhat,Jaipurhat Sadar,Madergonj,Madergonj,As,ug/L,< 0.5
