City Name,District Name,District ID
Dhaka,Dhaka,BD3026
Chittagong,Chattogram,BD2015
Gazipur,Gazipur,BD3033
Comilla,Comilla,BD2019
Mymensingh,Mymensingh,BD4561
Narayanganj,Narayanganj,BD3067
Rajshahi,Rajshahi,BD5081
Tangail,Tangail,BD3093
Sylhet,Sylhet,BD6091
Naogaon,Naogaon,BD5064
Jessore,Jessore,BD4041
Dinajpur,Dinajpur,BD5527
Khulna,Khulna,BD4047
Rangpur,Rangpur,BD5585
Cox'S Bazar,Cox's Bazar,BD2022
Brahamanbaria,Brahamanbaria,BD2012
Sirajganj,Sirajganj,BD5088
Pabna,Pabna,BD5076
Nawabganj,Nawabganj,BD5070
Kushtia,Kushtia,BD4050
Maulvibazar,Maulvibazar,BD6058
Natore,Natore,BD5069
Barisal,Barisal,BD1006
Netrakona,Netrakona,BD4572
Noakhali,Noakhali,BD2075
Kishoreganj,Kishoreganj,BD3048
Kurigram,Kurigram,BD5549
Habiganj,Habiganj,BD6036
Jamalpur,Jamalpur,BD4539
Faridpur,Faridpur,BD3029
Narsingdi,Narsingdi,BD3068
Chuadanga,Chuadanga,BD4018
Thakurgaon,Thakurgaon,BD5594
Satkhira,Satkhira,BD4087
Gaibandha,Gaibandha,BD5532
Sunamganj,Sunamganj,BD6090
Jhenaidah,Jhenaidah,BD4044
Nilphamari,Nilphamari,BD5573
Feni,Feni,BD2030
Bagerhat,Bagerhat,BD4001
Chandpur,Chandpur,BD2013
Munshiganj,Munshiganj,BD3059
Rangamati,Rangamati,BD2084
Manikganj,Manikganj,BD3056
Joypurhat,Joypurhat,BD5038
Patuakhali,Patuakhali,BD1078
Panchagarh,Panchagarh,BD5577
Meherpur,Meherpur,BD4057
Sherpur,Sherpur,BD4589
Khagrachhari,Khagrachhari,BD2046
Lalmonirhat,Lalmonirhat,BD5552
Gopalganj,Gopalganj,BD3035
Madaripur,Madaripur,BD3054
Shariatpur,Shariatpur,BD3086
Lakshmipur,Lakshmipur,BD2051
Rajbari,Rajbari,BD3082
Narail,Narail,BD4065
Bhola,Bhola,BD1009
Magura,Magura,BD4055
Barguna,Barguna,BD1004
Pirojpur,Pirojpur,BD1079
Bandarban,Bandarban,BD2003
Jhalokati,Jhalokati,BD1042
Bogra,Bogra,BD5010
Pirojpur,,
Bandarban,,
Jhalokati,,
Comilla,,
Mymensingh,,
Dinajpur,,
Khulna,,
Sylhet,,
Narsingdi,,
Munshiganj,,
Jessore,,
Cox'S Bazar,,
Tangail,,
Rajshahi,,
Bagerhat,,
Habiganj,,
Bogra,,
Sirajganj,,
Thakurgaon,,
Kushtia,,
Brahamanbaria,,
Pabna,,
Panchagarh,,
Rangpur,,
Natore,,
Nilphamari,,
Manikganj,,
Barisal,,
Nawabganj,,
Satkhira,,
Kishoreganj,,
Jamalpur,,
Feni,,
Chandpur,,
Lalmonirhat,,
Maulvibazar,,
Kurigram,,
Narail,,
Noakhali,,
Lakshmipur,,
Faridpur,,
Shariatpur,,
Netrakona,,
Madaripur,,
Pirojpur,,
Chuadanga,,
Jhenaidah,,
Bhola,,
Patuakhali,,
Jhalokati,,
Joypurhat,,
Rangamati,,
Barguna,,
Gopalganj,,
Naogaon,,
