country_name,Source_Code,Source,Year,Unit,Emissions_Quantity,Gas_Name,Type_of_Emissions
Bangladesh,5060,Rice Cultivation,1961,kt,843.2615,CH4,Emission
Bangladesh,5060,Rice Cultivation,1962,kt,864.2194,CH4,Emission
Bangladesh,5060,Rice Cultivation,1963,kt,895.3947,CH4,Emission
Bangladesh,5060,Rice Cultivation,1964,kt,917.3581,CH4,Emission
Bangladesh,5060,Rice Cultivation,1965,kt,930.4317,CH4,Emission
Bangladesh,5060,Rice Cultivation,1966,kt,902.055,CH4,Emission
Bangladesh,5060,Rice Cultivation,1967,kt,983.0064,CH4,Emission
Bangladesh,5060,Rice Cultivation,1968,kt,968.3647,CH4,Emission
Bangladesh,5060,Rice Cultivation,1969,kt,1025.2116,CH4,Emission
Bangladesh,5060,Rice Cultivation,1970,kt,985.3323,CH4,Emission
Bangladesh,5060,Rice Cultivation,1971,kt,924.1896,CH4,Emission
Bangladesh,5060,Rice Cultivation,1972,kt,957.193,CH4,Emission
Bangladesh,5060,Rice Cultivation,1973,kt,981.9027,CH4,Emission
Bangladesh,5060,Rice Cultivation,1974,kt,973.3438,CH4,Emission
Bangladesh,5060,Rice Cultivation,1975,kt,1026.7889,CH4,Emission
Bangladesh,5060,Rice Cultivation,1976,kt,982.2758,CH4,Emission
Bangladesh,5060,Rice Cultivation,1977,kt,996.7486,CH4,Emission
Bangladesh,5060,Rice Cultivation,1978,kt,1004.1196,CH4,Emission
Bangladesh,5060,Rice Cultivation,1979,kt,1009.8889,CH4,Emission
Bangladesh,5060,Rice Cultivation,1980,kt,1024.7077,CH4,Emission
Bangladesh,5060,Rice Cultivation,1981,kt,1039.8159,CH4,Emission
Bangladesh,5060,Rice Cultivation,1982,kt,1052.2221,CH4,Emission
Bangladesh,5060,Rice Cultivation,1983,kt,968.0029,CH4,Emission
Bangladesh,5060,Rice Cultivation,1984,kt,1016.2102,CH4,Emission
Bangladesh,5060,Rice Cultivation,1985,kt,1033.5781,CH4,Emission
Bangladesh,5060,Rice Cultivation,1986,kt,1054.5497,CH4,Emission
Bangladesh,5060,Rice Cultivation,1987,kt,1026.0253,CH4,Emission
Bangladesh,5060,Rice Cultivation,1988,kt,1016.2887,CH4,Emission
Bangladesh,5060,Rice Cultivation,1989,kt,1041.5319,CH4,Emission
Bangladesh,5060,Rice Cultivation,1990,kt,1037.2728,CH4,Emission
Bangladesh,5060,Rice Cultivation,1991,kt,1018.3036,CH4,Emission
Bangladesh,5060,Rice Cultivation,1992,kt,1011.7346,CH4,Emission
Bangladesh,5060,Rice Cultivation,1993,kt,984.6166,CH4,Emission
Bangladesh,5060,Rice Cultivation,1994,kt,985.9784,CH4,Emission
Bangladesh,5060,Rice Cultivation,1995,kt,989.199,CH4,Emission
Bangladesh,5060,Rice Cultivation,1996,kt,1013.88,CH4,Emission
Bangladesh,5060,Rice Cultivation,1997,kt,1020.1422,CH4,Emission
Bangladesh,5060,Rice Cultivation,1998,kt,1005.9119,CH4,Emission
Bangladesh,5060,Rice Cultivation,1999,kt,1064.8677,CH4,Emission
Bangladesh,5060,Rice Cultivation,2000,kt,1073.6407,CH4,Emission
Bangladesh,5060,Rice Cultivation,2001,kt,1059.7034,CH4,Emission
Bangladesh,5060,Rice Cultivation,2002,kt,1070.6374,CH4,Emission
Bangladesh,5060,Rice Cultivation,2003,kt,1066.069,CH4,Emission
Bangladesh,5060,Rice Cultivation,2004,kt,1018.6613,CH4,Emission
Bangladesh,5060,Rice Cultivation,2005,kt,1046.0923,CH4,Emission
Bangladesh,5060,Rice Cultivation,2006,kt,1051.5526,CH4,Emission
Bangladesh,5060,Rice Cultivation,2007,kt,1051.155,CH4,Emission
Bangladesh,5060,Rice Cultivation,2008,kt,1121.1475,CH4,Emission
Bangladesh,5060,Rice Cultivation,2009,kt,1128.5411,CH4,Emission
Bangladesh,5060,Rice Cultivation,2010,kt,1145.9826,CH4,Emission
Bangladesh,5060,Rice Cultivation,2011,kt,1145.8832,CH4,Emission
Bangladesh,5060,Rice Cultivation,2012,kt,1135.4462,CH4,Emission
Bangladesh,5060,Rice Cultivation,2013,kt,1130.3768,CH4,Emission
Bangladesh,5060,Rice Cultivation,2014,kt,1134.7148,CH4,Emission
Bangladesh,5060,Rice Cultivation,2015,kt,1131.2934,CH4,Emission
Bangladesh,5060,Rice Cultivation,2016,kt,1093.4804,CH4,Emission
Bangladesh,5060,Rice Cultivation,2017,kt,1154.531,CH4,Emission
Bangladesh,5060,Rice Cultivation,2018,kt,1144.591,CH4,Emission
Bangladesh,5060,Rice Cultivation,2019,kt,1144.6452,CH4,Emission
Bangladesh,5060,Rice Cultivation,2020,kt,1134.9239,CH4,Emission
Bangladesh,5060,Rice Cultivation,2021,kt,1163.0733,CH4,Emission
Bangladesh,5060,Rice Cultivation,2022,kt,1162.2211,CH4,Emission
Bangladesh,5060,Rice Cultivation,2023,kt,1157.1795,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1961,kt,12.8814,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1962,kt,13.199,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1963,kt,13.6965,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1964,kt,14.0237,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1965,kt,14.2218,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1966,kt,13.8147,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1967,kt,15.0562,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1968,kt,14.8521,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1969,kt,15.7408,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1970,kt,15.1497,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1971,kt,14.2375,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1972,kt,14.6916,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1973,kt,15.0316,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1974,kt,14.9407,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1975,kt,15.7522,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1976,kt,15.0769,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1977,kt,15.324,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1978,kt,15.4812,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1979,kt,15.6506,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1980,kt,16.0472,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1981,kt,16.4391,CH4,Emission
Bangladesh,5066,Burning - Crop residues,1982,kt,16.5835,CH4,Emission
