humidity_station_name,record_date,humidity_value
Mongla,2021/07/01,93.25
Mongla,2021/07/02,94.63
Mongla,2021/07/03,94.5
Mongla,2021/07/04,91
Mongla,2021/07/05,88.75
Mongla,2021/07/06,87.63
Mongla,2021/07/07,93.75
Mongla,2021/07/08,90.5
Mongla,2021/07/09,87.38
Mongla,2021/07/10,86.25
Mongla,2021/07/11,79.13
Mongla,2021/07/12,84
Mongla,2021/07/13,83
Mongla,2021/07/14,84.75
Mongla,2021/07/15,83.5
Mongla,2021/07/16,87.13
Mongla,2021/07/17,87.5
Mongla,2021/07/18,91
Mongla,2021/07/19,88.38
Mongla,2021/07/20,90.38
Mongla,2021/07/21,84
Mongla,2021/07/22,86.75
Mongla,2021/07/23,95.5
Mongla,2021/07/24,95.88
Mongla,2021/07/25,88.88
Mongla,2021/07/26,92.88
Mongla,2021/07/27,94.25
Mongla,2021/07/28,99
Mongla,2021/07/29,96.38
Mongla,2021/07/30,88.88
Mongla,2021/07/31,88.88
Mongla,2021/08/01,89.13
Mongla,2021/08/02,92.88
Mongla,2021/08/03,90.88
Mongla,2021/08/04,93
Mongla,2021/08/05,84.13
Mongla,2021/08/06,81.75
Mongla,2021/08/07,96.63
Mongla,2021/08/08,95.75
Mongla,2021/08/09,91.63
Mongla,2021/08/10,91.13
Mongla,2021/08/11,92.5
Mongla,2021/08/12,90.25
Mongla,2021/08/13,92.5
Mongla,2021/08/14,90.13
Mongla,2021/08/15,82
Mongla,2021/08/16,90.63
Mongla,2021/08/17,95.25
Mongla,2021/08/18,90.38
Mongla,2021/08/19,92.25
Mongla,2021/08/20,91.75
Mongla,2021/08/21,90.13
Mongla,2021/08/22,82.13
Mongla,2021/08/23,81.75
Mongla,2021/08/24,85.63
Mongla,2021/08/25,86.38
Mongla,2021/08/26,94.13
Mongla,2021/08/27,86.5
Mongla,2021/08/28,88.75
Mongla,2021/08/29,90.75
Mongla,2021/08/30,91.63
Mongla,2021/08/31,85.13
Mongla,2021/09/01,82.5
Mongla,2021/09/02,84.75
Mongla,2021/09/03,92
Mongla,2021/09/04,82.38
Mongla,2021/09/05,82.88
Mongla,2021/09/06,84.25
Mongla,2021/09/07,88.88
Mongla,2021/09/08,92.75
Mongla,2021/09/09,85
Mongla,2021/09/10,89
Mongla,2021/09/11,80.75
Mongla,2021/09/12,89.88
Mongla,2021/09/13,88.25
Mongla,2021/09/14,97
Mongla,2021/09/15,92.63
Mongla,2021/09/16,87.38
Mongla,2021/09/17,90
Mongla,2021/09/18,90.13
Mongla,2021/09/19,96.25
Mongla,2021/09/20,93.88
Mongla,2021/09/21,96
Mongla,2021/09/22,95.38
Mongla,2021/09/23,90
Mongla,2021/09/24,84.5
Mongla,2021/09/25,88
Mongla,2021/09/26,84.63
Mongla,2021/09/27,89.88
Mongla,2021/09/28,94.63
Mongla,2021/09/29,96.5
Mongla,2021/09/30,89.75
Mongla,2021/10/01,81.5
Mongla,2021/10/02,84.38
Mongla,2021/10/03,90
Mongla,2021/10/04,88.13
Mongla,2021/10/05,90.25
Mongla,2021/10/06,86.63
Mongla,2021/10/07,88
Mongla,2021/10/08,85.38
Mongla,2021/10/09,86
Mongla,2021/10/10,83.63
Mongla,2021/10/11,84
Mongla,2021/10/12,82.63
Mongla,2021/10/13,90.63
Mongla,2021/10/14,85.63
Mongla,2021/10/15,84.88
Mongla,2021/10/16,91.88
Mongla,2021/10/17,94.38
Mongla,2021/10/18,97.88
Mongla,2021/10/19,98
Mongla,2021/10/20,95.5
Mongla,2021/10/21,85.75
Mongla,2021/10/22,86.63
Mongla,2021/10/23,84.13
Mongla,2021/10/24,81.63
Mongla,2021/10/25,84.88
Mongla,2021/10/26,82.63
Mongla,2021/10/27,87.38
Mongla,2021/10/28,88.75
Mongla,2021/10/29,81.13
Mongla,2021/10/30,76
Mongla,2021/10/31,75.25
Mongla,2021/11/01,76.5
Mongla,2021/11/02,79.5
Mongla,2021/11/03,81.75
Mongla,2021/11/04,76.25
Mongla,2021/11/05,77.5
Mongla,2021/11/06,77.75
Mongla,2021/11/07,76.5
Mongla,2021/11/08,77.63
Mongla,2021/11/09,79.5
Mongla,2021/11/10,77
Mongla,2021/11/11,78.63
Mongla,2021/11/12,74.63
Mongla,2021/11/13,80.25
Mongla,2021/11/14,83.25
Mongla,2021/11/15,89.38
Mongla,2021/11/16,83.88
Mongla,2021/11/17,78.38
Mongla,2021/11/18,79.38
Mongla,2021/11/19,78.63
Mongla,2021/11/20,79.88
Mongla,2021/11/21,84.25
Mongla,2021/11/22,81.13
Mongla,2021/11/23,86.13
Mongla,2021/11/24,77
Mongla,2021/11/25,79.63
Mongla,2021/11/26,75.5
Mongla,2021/11/27,75.88
Mongla,2021/11/28,79.63
Mongla,2021/11/29,82.88
Mongla,2021/11/30,77.88
Mongla,2021/12/01,78.63
Mongla,2021/12/02,77.13
Mongla,2021/12/03,77.63
Mongla,2021/12/04,89.5
Mongla,2021/12/05,94.63
Mongla,2021/12/06,97.88
Mongla,2021/12/07,93.88
Mongla,2021/12/08,85.88
Mongla,2021/12/09,86.5
Mongla,2021/12/10,74.25
Mongla,2021/12/11,78.88
Mongla,2021/12/12,79.5
Mongla,2021/12/13,78.75
Mongla,2021/12/14,75.5
Mongla,2021/12/15,79.5
Mongla,2021/12/16,83.88
Mongla,2021/12/17,75.38
Mongla,2021/12/18,74.5
Mongla,2021/12/19,71.5
Mongla,2021/12/20,66.5
Mongla,2021/12/21,80.13
Mongla,2021/12/22,82.75
Mongla,2021/12/23,86.5
Mongla,2021/12/24,84.38
Mongla,2021/12/25,81.88
Mongla,2021/12/26,81.75
Mongla,2021/12/27,83.13
Mongla,2021/12/28,80.25
Mongla,2021/12/29,80.88
Mongla,2021/12/30,79.75
Mongla,2021/12/31,78
Rajshahi,2021/07/01,96.63
Rajshahi,2021/07/02,93.75
Rajshahi,2021/07/03,85.63
Rajshahi,2021/07/04,87
Rajshahi,2021/07/05,83.13
Rajshahi,2021/07/06,84.38
Rajshahi,2021/07/07,90.63
Rajshahi,2021/07/08,88.25
Rajshahi,2021/07/09,83.75
Rajshahi,2021/07/10,84.38
Rajshahi,2021/07/11,84.13
Rajshahi,2021/07/12,86
Rajshahi,2021/07/13,83
Rajshahi,2021/07/14,82.25
Rajshahi,2021/07/15,82.63
Rajshahi,2021/07/16,79.13
Rajshahi,2021/07/17,85.25
Rajshahi,2021/07/18,80.5
Rajshahi,2021/07/19,90.38
Rajshahi,2021/07/20,95.25
Rajshahi,2021/07/21,88
Rajshahi,2021/07/22,80.75
Rajshahi,2021/07/23,84.88
Rajshahi,2021/07/24,88.88
Rajshahi,2021/07/25,82.75
Rajshahi,2021/07/26,81.25
Rajshahi,2021/07/27,87.38
Rajshahi,2021/07/28,81.75
