temp_station_name,record_date,temp_value
 Bogura  ,2022/01/01,25.5
 Bogura  ,2022/01/02,22.5
 Bogura  ,2022/01/03,22.7
 Bogura  ,2022/01/04,20.7
 Bogura  ,2022/01/05,22
 Bogura  ,2022/01/06,24.5
 Bogura  ,2022/01/07,26.5
 Bogura  ,2022/01/08,28
 Bogura  ,2022/01/09,27.4
 Bogura  ,2022/01/10,27.2
 Bogura  ,2022/01/11,25.2
 Bogura  ,2022/01/12,25.6
 Bogura  ,2022/01/13,24.3
 Bogura  ,2022/01/14,21.2
 Bogura  ,2022/01/15,24.5
 Bogura  ,2022/01/16,23.2
 Bogura  ,2022/01/17,25
 Bogura  ,2022/01/18,23.5
 Bogura  ,2022/01/19,22
 Bogura  ,2022/01/20,17.3
 Bogura  ,2022/01/21,22.8
 Bogura  ,2022/01/22,23.6
 Bogura  ,2022/01/23,21.2
 Bogura  ,2022/01/24,25.5
 Bogura  ,2022/01/25,25
 Bogura  ,2022/01/26,22
 Bogura  ,2022/01/27,22.5
 Bogura  ,2022/01/28,19.8
 Bogura  ,2022/01/29,22
 Bogura  ,2022/01/30,21.8
 Bogura  ,2022/01/31,22.6
 Bogura  ,2022/02/01,25.4
 Bogura  ,2022/02/02,24.5
 Bogura  ,2022/02/03,25.6
 Bogura  ,2022/02/04,18
 Bogura  ,2022/02/05,19.8
 Bogura  ,2022/02/06,18
 Bogura  ,2022/02/07,22.5
 Bogura  ,2022/02/08,22.6
 Bogura  ,2022/02/09,25
 Bogura  ,2022/02/10,21.6
 Bogura  ,2022/02/11,24.8
 Bogura  ,2022/02/12,24.4
 Bogura  ,2022/02/13,27
 Bogura  ,2022/02/14,27.5
 Bogura  ,2022/02/15,27.8
 Bogura  ,2022/02/16,26
 Bogura  ,2022/02/17,27.4
 Bogura  ,2022/02/18,28
 Bogura  ,2022/02/19,27.6
 Bogura  ,2022/02/20,26
 Bogura  ,2022/02/21,26.4
 Bogura  ,2022/02/22,26.6
 Bogura  ,2022/02/23,28
 Bogura  ,2022/02/24,28
 Bogura  ,2022/02/25,27.7
 Bogura  ,2022/02/26,29.5
 Bogura  ,2022/02/27,28.4
 Bogura  ,2022/02/28,30.2
 Bogura  ,2022/03/01,30
 Bogura  ,2022/03/02,31
 Bogura  ,2022/03/03,30.6
 Bogura  ,2022/03/04,30.5
 Bogura  ,2022/03/05,31.7
 Bogura  ,2022/03/06,31.7
 Bogura  ,2022/03/07,34
 Bogura  ,2022/03/08,32.8
 Bogura  ,2022/03/09,32.2
 Bogura  ,2022/03/10,32.8
 Bogura  ,2022/03/11,33
 Bogura  ,2022/03/12,33.2
 Bogura  ,2022/03/13,33.4
 Bogura  ,2022/03/14,33.8
 Bogura  ,2022/03/15,33.8
 Bogura  ,2022/03/16,35.6
 Bogura  ,2022/03/17,36
 Bogura  ,2022/03/18,36
 Bogura  ,2022/03/19,36
