country_name,source_id,source,year,unit,emissions_quantity,gas_name,Type_of_Emission
Bangladesh,6504,Fertilizers Manufacturing,1990,kt,640.794341,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,1991,kt,657.286273,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,1992,kt,663.236182,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,1993,kt,666.486619,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,1994,kt,694.01613,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,1995,kt,708.236363,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,1996,kt,733.783919,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,1997,kt,763.707465,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,1998,kt,789.715291,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,1999,kt,822.117269,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2000,kt,838.878839,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2001,kt,862.4353,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2002,kt,1577.646906,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2003,kt,1869.33445,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2004,kt,1816.635653,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2005,kt,1765.44609,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2006,kt,1719.426639,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2007,kt,1582.816393,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2008,kt,1334.718608,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2009,kt,1174.395531,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2010,kt,946.984597,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2011,kt,847.809357,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2012,kt,861.682991,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2013,kt,896.138335,CO2eq,Emission
Bangladesh,6504,Fertilizers Manufacturing,2014,kt,760.506691,CO2eq,Emission
