humidity_station_name,district_id
Mongla,BD4001
Rajshahi,BD5081
Ambagan,BD2015
Aricha,BD3056
Badalgachi,BD5064
Baghabari,BD5088
Bandarban,BD2003
Barisal,BD1006
Bhola,BD1009
Bogura,BD5010
Chandpur,BD2013
Chittagong,BD2015
Chuadanga,BD4018
Comilla,BD2019
Cox's Bazar,BD2022
Dhaka,BD3026
Dimla,BD5573
Dinajpur,BD5527
Faridpur,BD3029
Feni,BD2030
Gazipur,BD3033
Gopalgonj,BD3035
Hatiya,BD2075
Hijla,BD1006
Ishurdi,BD5076
Jessore,BD4041
Khepupara,BD1078
Khulna,BD4047
Koyra,BD4047
Kumarkhali,BD4050
Kutubdia,BD2022
M.court,BD2075
Madaripur,BD3054
Maijdicourt,BD2075
Mawa,BD3059
Mongla,BD4001
Monpura,BD1009
Mymensingh,BD3061
Narayanganj,BD3067
Narsingdi,BD3068
Netrokona,BD3072
Nikli,BD3048
Patuakhali,BD1078
Rajarhat,BD5549
Rajshahi,BD5081
Ramgati,BD2051
Rangamati,BD2084
Rangpur,BD5585
Sandwip,BD2015
Satkhira,BD4087
Sayedpur,BD5573
Sitakunda,BD2015
Srimangal,BD6058
sydpur,BD5573
Sylhet,BD6091
Tangail,BD3093
Tarash,BD5088
Teknaf,BD2022
Tetulia,BD5577
