Country_name,Land_category_code,Land_category,Year,Unit,Value
Bangladesh,6600,Country area,1961,1000 ha,14846
Bangladesh,6600,Country area,1962,1000 ha,14846
Bangladesh,6600,Country area,1963,1000 ha,14846
Bangladesh,6600,Country area,1964,1000 ha,14846
Bangladesh,6600,Country area,1965,1000 ha,14846
Bangladesh,6600,Country area,1966,1000 ha,14846
Bangladesh,6600,Country area,1967,1000 ha,14846
Bangladesh,6600,Country area,1968,1000 ha,14846
Bangladesh,6600,Country area,1969,1000 ha,14846
Bangladesh,6600,Country area,1970,1000 ha,14846
Bangladesh,6600,Country area,1971,1000 ha,14846
Bangladesh,6600,Country area,1972,1000 ha,14846
Bangladesh,6600,Country area,1973,1000 ha,14846
Bangladesh,6600,Country area,1974,1000 ha,14846
Bangladesh,6600,Country area,1975,1000 ha,14846
Bangladesh,6600,Country area,1976,1000 ha,14846
Bangladesh,6600,Country area,1977,1000 ha,14846
Bangladesh,6600,Country area,1978,1000 ha,14846
Bangladesh,6600,Country area,1979,1000 ha,14846
Bangladesh,6600,Country area,1980,1000 ha,14846
Bangladesh,6600,Country area,1981,1000 ha,14846
Bangladesh,6600,Country area,1982,1000 ha,14846
Bangladesh,6600,Country area,1983,1000 ha,14846
Bangladesh,6600,Country area,1984,1000 ha,14846
Bangladesh,6600,Country area,1985,1000 ha,14846
Bangladesh,6600,Country area,1986,1000 ha,14846
Bangladesh,6600,Country area,1987,1000 ha,14846
Bangladesh,6600,Country area,1988,1000 ha,14846
Bangladesh,6600,Country area,1989,1000 ha,14846
Bangladesh,6600,Country area,1990,1000 ha,14846
Bangladesh,6600,Country area,1991,1000 ha,14846
Bangladesh,6600,Country area,1992,1000 ha,14846
Bangladesh,6600,Country area,1993,1000 ha,14846
Bangladesh,6600,Country area,1994,1000 ha,14846
Bangladesh,6600,Country area,1995,1000 ha,14846
Bangladesh,6600,Country area,1996,1000 ha,14846
Bangladesh,6600,Country area,1997,1000 ha,14846
Bangladesh,6600,Country area,1998,1000 ha,14846
Bangladesh,6600,Country area,1999,1000 ha,14846
Bangladesh,6600,Country area,2000,1000 ha,14846
Bangladesh,6600,Country area,2001,1000 ha,14846
Bangladesh,6600,Country area,2002,1000 ha,14846
Bangladesh,6600,Country area,2003,1000 ha,14846
Bangladesh,6600,Country area,2004,1000 ha,14846
Bangladesh,6600,Country area,2005,1000 ha,14846
Bangladesh,6600,Country area,2006,1000 ha,14846
Bangladesh,6600,Country area,2007,1000 ha,14846
Bangladesh,6600,Country area,2008,1000 ha,14846
Bangladesh,6600,Country area,2009,1000 ha,14846
Bangladesh,6600,Country area,2010,1000 ha,14846
Bangladesh,6600,Country area,2011,1000 ha,14846
Bangladesh,6600,Country area,2012,1000 ha,14846
Bangladesh,6600,Country area,2013,1000 ha,14846
Bangladesh,6600,Country area,2014,1000 ha,14763
Bangladesh,6600,Country area,2015,1000 ha,14763
Bangladesh,6600,Country area,2016,1000 ha,14763
Bangladesh,6600,Country area,2017,1000 ha,14797.7
Bangladesh,6600,Country area,2018,1000 ha,14757
Bangladesh,6600,Country area,2019,1000 ha,14757
Bangladesh,6600,Country area,2020,1000 ha,14757
Bangladesh,6600,Country area,2021,1000 ha,14757
Bangladesh,6600,Country area,2022,1000 ha,14757
Bangladesh,6600,Country area,2023,1000 ha,14757
Bangladesh,6600,Country area,2024,1000 ha,14757
Bangladesh,6601,Land area,1961,1000 ha,13017
Bangladesh,6601,Land area,1962,1000 ha,13017
Bangladesh,6601,Land area,1963,1000 ha,13017
Bangladesh,6601,Land area,1964,1000 ha,13017
Bangladesh,6601,Land area,1965,1000 ha,13017
Bangladesh,6601,Land area,1966,1000 ha,13017
Bangladesh,6601,Land area,1967,1000 ha,13017
Bangladesh,6601,Land area,1968,1000 ha,13017
Bangladesh,6601,Land area,1969,1000 ha,13017
Bangladesh,6601,Land area,1970,1000 ha,13017
Bangladesh,6601,Land area,1971,1000 ha,13017
Bangladesh,6601,Land area,1972,1000 ha,13017
Bangladesh,6601,Land area,1973,1000 ha,13017
Bangladesh,6601,Land area,1974,1000 ha,13017
Bangladesh,6601,Land area,1975,1000 ha,13017
Bangladesh,6601,Land area,1976,1000 ha,13017
Bangladesh,6601,Land area,1977,1000 ha,13017
Bangladesh,6601,Land area,1978,1000 ha,13017
Bangladesh,6601,Land area,1979,1000 ha,13017
Bangladesh,6601,Land area,1980,1000 ha,13017
Bangladesh,6601,Land area,1981,1000 ha,13017
Bangladesh,6601,Land area,1982,1000 ha,13017
Bangladesh,6601,Land area,1983,1000 ha,13017
Bangladesh,6601,Land area,1984,1000 ha,13017
Bangladesh,6601,Land area,1985,1000 ha,13017
Bangladesh,6601,Land area,1986,1000 ha,13017
Bangladesh,6601,Land area,1987,1000 ha,13017
Bangladesh,6601,Land area,1988,1000 ha,13017
Bangladesh,6601,Land area,1989,1000 ha,13017
Bangladesh,6601,Land area,1990,1000 ha,13017
Bangladesh,6601,Land area,1991,1000 ha,13017
Bangladesh,6601,Land area,1992,1000 ha,13017
Bangladesh,6601,Land area,1993,1000 ha,13017
Bangladesh,6601,Land area,1994,1000 ha,13017
Bangladesh,6601,Land area,1995,1000 ha,13017
Bangladesh,6601,Land area,1996,1000 ha,13017
Bangladesh,6601,Land area,1997,1000 ha,13017
Bangladesh,6601,Land area,1998,1000 ha,13017
Bangladesh,6601,Land area,1999,1000 ha,13017
Bangladesh,6601,Land area,2000,1000 ha,13017
Bangladesh,6601,Land area,2001,1000 ha,13017
Bangladesh,6601,Land area,2002,1000 ha,13017
Bangladesh,6601,Land area,2003,1000 ha,13017
Bangladesh,6601,Land area,2004,1000 ha,13017
Bangladesh,6601,Land area,2005,1000 ha,13017
Bangladesh,6601,Land area,2006,1000 ha,13017
Bangladesh,6601,Land area,2007,1000 ha,13017
Bangladesh,6601,Land area,2008,1000 ha,13017
Bangladesh,6601,Land area,2009,1000 ha,13017
Bangladesh,6601,Land area,2010,1000 ha,13017
Bangladesh,6601,Land area,2011,1000 ha,13017
Bangladesh,6601,Land area,2012,1000 ha,13017
Bangladesh,6601,Land area,2013,1000 ha,13017
Bangladesh,6601,Land area,2014,1000 ha,13017
Bangladesh,6601,Land area,2015,1000 ha,13017
Bangladesh,6601,Land area,2016,1000 ha,13017
Bangladesh,6601,Land area,2017,1000 ha,13017
Bangladesh,6601,Land area,2018,1000 ha,13017
Bangladesh,6601,Land area,2019,1000 ha,13017
Bangladesh,6601,Land area,2020,1000 ha,13017
Bangladesh,6601,Land area,2021,1000 ha,13017
Bangladesh,6601,Land area,2022,1000 ha,13017
Bangladesh,6601,Land area,2023,1000 ha,13017
Bangladesh,6601,Land area,2024,1000 ha,13017
Bangladesh,6602,Agriculture,1961,1000 ha,9480
Bangladesh,6602,Agriculture,1962,1000 ha,9477
Bangladesh,6602,Agriculture,1963,1000 ha,9480
Bangladesh,6602,Agriculture,1964,1000 ha,9520
Bangladesh,6602,Agriculture,1965,1000 ha,9637
Bangladesh,6602,Agriculture,1966,1000 ha,9650
Bangladesh,6602,Agriculture,1967,1000 ha,9695
Bangladesh,6602,Agriculture,1968,1000 ha,9669
Bangladesh,6602,Agriculture,1969,1000 ha,9675
Bangladesh,6602,Agriculture,1970,1000 ha,9697
Bangladesh,6602,Agriculture,1971,1000 ha,9695
Bangladesh,6602,Agriculture,1972,1000 ha,9991
Bangladesh,6602,Agriculture,1973,1000 ha,9989
Bangladesh,6602,Agriculture,1974,1000 ha,9989
Bangladesh,6602,Agriculture,1975,1000 ha,10004
Bangladesh,6602,Agriculture,1976,1000 ha,9998
Bangladesh,6602,Agriculture,1977,1000 ha,9991
Bangladesh,6602,Agriculture,1978,1000 ha,9987
Bangladesh,6602,Agriculture,1979,1000 ha,9983
Bangladesh,6602,Agriculture,1980,1000 ha,9987
Bangladesh,6602,Agriculture,1981,1000 ha,9981
Bangladesh,6602,Agriculture,1982,1000 ha,9978
Bangladesh,6602,Agriculture,1983,1000 ha,9964
Bangladesh,6602,Agriculture,1984,1000 ha,10060
Bangladesh,6602,Agriculture,1985,1000 ha,10027
Bangladesh,6602,Agriculture,1986,1000 ha,10041
Bangladesh,6602,Agriculture,1987,1000 ha,10115
Bangladesh,6602,Agriculture,1988,1000 ha,10427
Bangladesh,6602,Agriculture,1989,1000 ha,10443
Bangladesh,6602,Agriculture,1990,1000 ha,10386
Bangladesh,6602,Agriculture,1991,1000 ha,10320
Bangladesh,6602,Agriculture,1992,1000 ha,9549
Bangladesh,6602,Agriculture,1993,1000 ha,9446
Bangladesh,6602,Agriculture,1994,1000 ha,9358
Bangladesh,6602,Agriculture,1995,1000 ha,9374
Bangladesh,6602,Agriculture,1996,1000 ha,9327
Bangladesh,6602,Agriculture,1997,1000 ha,9365
Bangladesh,6602,Agriculture,1998,1000 ha,9434
Bangladesh,6602,Agriculture,1999,1000 ha,9486
Bangladesh,6602,Agriculture,2000,1000 ha,9400
Bangladesh,6602,Agriculture,2001,1000 ha,9403
Bangladesh,6602,Agriculture,2002,1000 ha,9353
Bangladesh,6602,Agriculture,2003,1000 ha,9328
Bangladesh,6602,Agriculture,2004,1000 ha,9323
Bangladesh,6602,Agriculture,2005,1000 ha,9311
Bangladesh,6602,Agriculture,2006,1000 ha,9280
Bangladesh,6602,Agriculture,2007,1000 ha,9266
Bangladesh,6602,Agriculture,2008,1000 ha,9253
Bangladesh,6602,Agriculture,2009,1000 ha,9246
Bangladesh,6602,Agriculture,2010,1000 ha,9241
Bangladesh,6602,Agriculture,2011,1000 ha,9128
Bangladesh,6602,Agriculture,2012,1000 ha,9120
Bangladesh,6602,Agriculture,2013,1000 ha,9108
Bangladesh,6602,Agriculture,2014,1000 ha,9099
Bangladesh,6602,Agriculture,2015,1000 ha,9162.24
Bangladesh,6602,Agriculture,2016,1000 ha,9194.21
Bangladesh,6602,Agriculture,2017,1000 ha,9187.33
Bangladesh,6602,Agriculture,2018,1000 ha,9202.3
Bangladesh,6602,Agriculture,2019,1000 ha,9397
Bangladesh,6602,Agriculture,2020,1000 ha,9430
Bangladesh,6602,Agriculture,2021,1000 ha,9418
Bangladesh,6602,Agriculture,2022,1000 ha,9427
Bangladesh,6602,Agriculture,2023,1000 ha,9399
Bangladesh,6602,Agriculture,2024,1000 ha,9399
Bangladesh,6610,Agricultural land,1961,1000 ha,9480
Bangladesh,6610,Agricultural land,1962,1000 ha,9477
Bangladesh,6610,Agricultural land,1963,1000 ha,9480
Bangladesh,6610,Agricultural land,1964,1000 ha,9520
Bangladesh,6610,Agricultural land,1965,1000 ha,9637
Bangladesh,6610,Agricultural land,1966,1000 ha,9650
Bangladesh,6610,Agricultural land,1967,1000 ha,9695
Bangladesh,6610,Agricultural land,1968,1000 ha,9669
Bangladesh,6610,Agricultural land,1969,1000 ha,9675
Bangladesh,6610,Agricultural land,1970,1000 ha,9697
Bangladesh,6610,Agricultural land,1971,1000 ha,9695
Bangladesh,6610,Agricultural land,1972,1000 ha,9991
Bangladesh,6610,Agricultural land,1973,1000 ha,9989
Bangladesh,6610,Agricultural land,1974,1000 ha,9989
Bangladesh,6610,Agricultural land,1975,1000 ha,10004
Bangladesh,6610,Agricultural land,1976,1000 ha,9998
Bangladesh,6610,Agricultural land,1977,1000 ha,9991
Bangladesh,6610,Agricultural land,1978,1000 ha,9987
Bangladesh,6610,Agricultural land,1979,1000 ha,9983
Bangladesh,6610,Agricultural land,1980,1000 ha,9987
Bangladesh,6610,Agricultural land,1981,1000 ha,9981
Bangladesh,6610,Agricultural land,1982,1000 ha,9978
Bangladesh,6610,Agricultural land,1983,1000 ha,9964
Bangladesh,6610,Agricultural land,1984,1000 ha,10060
Bangladesh,6610,Agricultural land,1985,1000 ha,10027
Bangladesh,6610,Agricultural land,1986,1000 ha,10041
Bangladesh,6610,Agricultural land,1987,1000 ha,10115
Bangladesh,6610,Agricultural land,1988,1000 ha,10427
Bangladesh,6610,Agricultural land,1989,1000 ha,10443
Bangladesh,6610,Agricultural land,1990,1000 ha,10386
Bangladesh,6610,Agricultural land,1991,1000 ha,10320
Bangladesh,6610,Agricultural land,1992,1000 ha,9549
Bangladesh,6610,Agricultural land,1993,1000 ha,9446
Bangladesh,6610,Agricultural land,1994,1000 ha,9358
Bangladesh,6610,Agricultural land,1995,1000 ha,9374
Bangladesh,6610,Agricultural land,1996,1000 ha,9327
Bangladesh,6610,Agricultural land,1997,1000 ha,9365
Bangladesh,6610,Agricultural land,1998,1000 ha,9434
Bangladesh,6610,Agricultural land,1999,1000 ha,9486
Bangladesh,6610,Agricultural land,2000,1000 ha,9400
Bangladesh,6610,Agricultural land,2001,1000 ha,9403
Bangladesh,6610,Agricultural land,2002,1000 ha,9353
Bangladesh,6610,Agricultural land,2003,1000 ha,9328
Bangladesh,6610,Agricultural land,2004,1000 ha,9323
Bangladesh,6610,Agricultural land,2005,1000 ha,9311
Bangladesh,6610,Agricultural land,2006,1000 ha,9280
Bangladesh,6610,Agricultural land,2007,1000 ha,9266
Bangladesh,6610,Agricultural land,2008,1000 ha,9253
Bangladesh,6610,Agricultural land,2009,1000 ha,9246
Bangladesh,6610,Agricultural land,2010,1000 ha,9241
Bangladesh,6610,Agricultural land,2011,1000 ha,9128
Bangladesh,6610,Agricultural land,2012,1000 ha,9120
Bangladesh,6610,Agricultural land,2013,1000 ha,9108
Bangladesh,6610,Agricultural land,2014,1000 ha,9099
Bangladesh,6610,Agricultural land,2015,1000 ha,9162.24
Bangladesh,6610,Agricultural land,2016,1000 ha,9194.21
Bangladesh,6610,Agricultural land,2017,1000 ha,9187.33
Bangladesh,6610,Agricultural land,2018,1000 ha,9202.3
Bangladesh,6610,Agricultural land,2019,1000 ha,9397
Bangladesh,6610,Agricultural land,2020,1000 ha,9430
Bangladesh,6610,Agricultural land,2021,1000 ha,9418
Bangladesh,6610,Agricultural land,2022,1000 ha,9427
