Country_name,Source_ID,Source,Year,Unit,Emissions_Quantity,Gas_Name,Type_of_Emission
Bangladesh,5064,Crop Residues,1961,kt,0.9816,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1962,kt,0.9655,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1963,kt,1.0591,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1964,kt,1.0676,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1965,kt,1.0771,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1966,kt,1.0211,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1967,kt,1.1435,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1968,kt,1.1429,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1969,kt,1.2117,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1970,kt,1.1499,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1971,kt,1.0588,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1972,kt,1.087,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1973,kt,1.178,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1974,kt,1.1481,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1975,kt,1.2472,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1976,kt,1.1812,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1977,kt,1.241,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1978,kt,1.2556,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1979,kt,1.2535,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1980,kt,1.3261,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1981,kt,1.3395,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1982,kt,1.3662,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1983,kt,1.3299,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1984,kt,1.371,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1985,kt,1.4126,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1986,kt,1.422,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1987,kt,1.4046,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1988,kt,1.4032,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1989,kt,1.5121,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1990,kt,1.5041,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1991,kt,1.5099,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1992,kt,1.5119,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1993,kt,1.4865,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1994,kt,1.4361,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1995,kt,1.4779,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1996,kt,1.55,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1997,kt,1.5572,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1998,kt,1.6047,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,1999,kt,1.7919,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2000,kt,1.8808,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2001,kt,1.8292,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2002,kt,1.8695,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2003,kt,1.8849,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2004,kt,1.7896,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2005,kt,1.9056,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2006,kt,1.9365,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2007,kt,2.0093,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2008,kt,2.1808,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2009,kt,2.2017,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2010,kt,2.285,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2011,kt,2.3108,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2012,kt,2.3059,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2013,kt,2.3521,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2014,kt,2.3861,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2015,kt,2.3907,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2016,kt,2.3344,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2017,kt,2.4962,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2018,kt,2.4909,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2019,kt,2.4996,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2020,kt,2.5131,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2021,kt,2.579,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2022,kt,2.6051,N2O,Indirect Emission
Bangladesh,5064,Crop Residues,2023,kt,2.6513,N2O,Indirect Emission
