year,precipitation_mm,5year_gaussian_smooth_precipitation,Country
1901,"2,369.51","2,390",Bangladesh
1902,"2,306.26","2,345.99",Bangladesh
1903,"2,253.42","2,306.95",Bangladesh
1904,"2,335.92","2,277.81",Bangladesh
1905,"2,637","2,263.70",Bangladesh
1906,"2,087.88","2,269.50",Bangladesh
1907,"2,019.65","2,299.52",Bangladesh
1908,"2,522.50","2,349.78",Bangladesh
1909,"2,331.71","2,410.25",Bangladesh
1910,"2,429.02","2,471.18",Bangladesh
1911,"2,719.52","2,522.71",Bangladesh
1912,"2,303.84","2,555.10",Bangladesh
1913,"2,817.85","2,564.03",Bangladesh
1914,"2,339.74","2,554.97",Bangladesh
1915,"2,665.32","2,534.16",Bangladesh
1916,"2,536.57","2,507.75",Bangladesh
1917,"2,514.28","2,482.17",Bangladesh
1918,"2,344.67","2,462.58",Bangladesh
1919,"2,581.37","2,449.70",Bangladesh
1920,"2,289.04","2,442.97",Bangladesh
1921,"2,362.93","2,441.85",Bangladesh
1922,"2,687.93","2,445.73",Bangladesh
1923,"2,169","2,453.94",Bangladesh
1924,"2,686.91","2,463.90",Bangladesh
1925,"2,531.24","2,471.52",Bangladesh
1926,"2,280.19","2,472.80",Bangladesh
1927,"2,555.46","2,463.68",Bangladesh
1928,"2,551.36","2,440.06",Bangladesh
1929,"2,391.03","2,402.57",Bangladesh
1930,"2,247.86","2,360.20",Bangladesh
1931,"2,138.25","2,322.93",Bangladesh
1932,"2,408.38","2,300.68",Bangladesh
1933,"2,328.66","2,303.57",Bangladesh
1934,"2,655.87","2,338.32",Bangladesh
1935,"2,162.15","2,395.23",Bangladesh
1936,"2,542.76","2,459.43",Bangladesh
1937,"2,246.86","2,515.50",Bangladesh
1938,"2,681.73","2,548.57",Bangladesh
1939,"2,447.38","2,544.55",Bangladesh
1940,"2,479.36","2,506",Bangladesh
1941,"2,788.93","2,450.01",Bangladesh
1942,"2,306.82","2,393.82",Bangladesh
1943,"2,436.17","2,354.74",Bangladesh
1944,"2,075.05","2,350.04",Bangladesh
1945,"2,315.46","2,386.71",Bangladesh
1946,"2,520.71","2,449.65",Bangladesh
1947,"2,743.41","2,521.05",Bangladesh
1948,"2,469.05","2,583.24",Bangladesh
1949,"2,774.62","2,618.03",Bangladesh
1950,"2,355.29","2,611.22",Bangladesh
1951,"2,445.71","2,568.93",Bangladesh
1952,"2,654.57","2,504.60",Bangladesh
1953,"2,563.36","2,432.26",Bangladesh
1954,"2,340.21","2,365.43",Bangladesh
1955,"2,333.24","2,317.28",Bangladesh
1956,"2,614.89","2,291.52",Bangladesh
