River_Station_ID,River_Name,Rotation_of_river_survey,District,Upazila,Latitude,Longitude,start_date,last_date
RMDRT5,Doratana,5 Years,Bagerhat,Bagerhat Sadar,22.5369,89.7759,2021-05-05,2025-04-21
RMDRT4,Doratana,5 Years,Bagerhat,Bagerhat Sadar,22.5569,89.7778,2021-05-04,2025-04-21
RMDRT3,Doratana,5 Years,Bagerhat,Bagerhat Sadar,22.5815,89.7922,2021-05-03,2025-04-20
RMBSN4,Bisnu,5 Years,Bagerhat,Bagerhat Sadar,22.591,89.7165,2022-06-06,2022-06-06
RMDRT2,Doratana,5 Years,Bagerhat,Bagerhat Sadar,22.609,89.7915,2021-05-02,2025-04-20
RMBSN3,Bisnu,5 Years,Bagerhat,Bagerhat Sadar,22.6146,89.7153,2022-06-05,2022-06-05
RMBSN2,Bisnu,5 Years,Bagerhat,Bagerhat Sadar,22.627,89.7295,2022-06-05,2022-06-05
RMDRT1,Doratana,5 Years,Bagerhat,Bagerhat Sadar,22.6394,89.8023,2021-05-01,2025-04-20
RMBSN1,Bisnu,5 Years,Bagerhat,Bagerhat Sadar,22.6417,89.7156,2022-06-05,2022-06-05
RMGM38,Gorai-Madhumati-Haringhata-Baleswar,2 Years,Bagerhat,Mollahat,22.9435,89.7989,1995-02-08,2024-05-02
RMBHO1,Bhola,5 Years,Bagerhat,Mongla,22.3694,89.6427,2017-05-23,2021-05-07
RMBHO4,Bhola,5 Years,Bagerhat,Mongla,22.3982,89.7349,2017-05-14,2021-05-08
RMBHO3,Bhola,5 Years,Bagerhat,Mongla,22.4055,89.6917,2017-05-17,2021-05-08
RMBHO2,Bhola,5 Years,Bagerhat,Mongla,22.4093,89.6724,2017-05-20,2021-05-07
RMKMK7,Kumarkhali Mongla,5 Years,Bagerhat,Mongla,22.4702,89.5999,2023-05-28,2023-05-28
RMKMK6,Kumarkhali Mongla,5 Years,Bagerhat,Mongla,22.5039,89.6157,2023-05-27,2023-05-27
RMKMK5,Kumarkhali Mongla,5 Years,Bagerhat,Mongla,22.5329,89.6347,2023-05-26,2023-05-26
RMRP14,Rupsa-Pasur,3 Years,Bagerhat,Mongla,22.5458,89.5778,2006-04-22,2024-05-24
RMBHO8,Bhola,5 Years,Bagerhat,Morrelganj,22.2134,89.808,2017-05-02,2021-05-10
RMBHO7,Bhola,5 Years,Bagerhat,Morrelganj,22.2835,89.7965,2017-05-05,2021-05-10
RMBHO5,Bhola,5 Years,Bagerhat,Morrelganj,22.3997,89.7568,2017-05-11,2021-05-09
RMGH6,Ghashiakhali,3 Years,Bagerhat,Morrelganj,22.4354,89.8828,2017-04-21,2024-05-28
RMGH5,Ghashiakhali,3 Years,Bagerhat,Morrelganj,22.4889,89.8618,2017-04-20,2024-05-27
RMGH4,Ghashiakhali,3 Years,Bagerhat,Morrelganj,22.4889,89.8433,2017-04-18,2024-05-27
RMGH3,Ghashiakhali,3 Years,Bagerhat,Morrelganj,22.4944,89.825,2017-04-24,2024-05-26
RMGH2,Ghashiakhali,3 Years,Bagerhat,Morrelganj,22.5126,89.7888,2017-04-22,2024-05-26
RMGH1,Ghashiakhali,3 Years,Bagerhat,Morrelganj,22.5247,89.7725,2017-04-20,2024-05-25
