River_Station_ID,River_Station_Name,River_Name,upazila_name,latitude,longitude
SW203.5,Poamuhuri,Matamuhuri,Alikadam,21.4581,92.4545
SW247,Bandarban,Sangu,Bandarban Sadar,22.1966,92.2166
SW203,Lama,Matamuhuri,Lama,21.7861,92.1908
SW247.4,Remakri,Sangu,Thanchi,21.6761,92.5173
SW37.5,Betagi,Bishkhali,Betagi,22.4161,90.1656
SW18,Barisal,Kirtankhola,Barisal Sadar,22.6966,90.374
SW123,Gangasagar Rly.,Hawrah,Akhaura,23.8335,91.1985
SW296,Akhaura,Titas,Akhaura,23.8798,91.1993
SW359,Harashpur,Lohor,Bijoynagar,24.0168,91.2991
SW3A,Brahmanbaria,Anderson khal,Brahamanbaria Sadar,23.9569,91.1196
SW297,Gokarnaghat,Titas,Brahamanbaria Sadar,23.9531,91.0831
SW3,Brahmanbaria Rly_Bridge,Anderson khal,Brahamanbaria Sadar,23.9566,91.12
SW298,Nabinagar,Titas,Nabinagar,23.9051,90.9735
SW298.5,Salimganj,Titas,Nabinagar,23.8486,90.8453
SW295,Ajabpur,Titas,Sarail,24.1212,91.0548
SW277,Chandpur,Surma-Meghna,Chandpur Sadar,23.229,90.6448
SW277.3,Nilkamal,Surma-Meghna,Haimchar,23.0843,90.6492
SW58A,Laksam,Dakatia,Hajiganj,23.2338,91.1189
SW58,Hajiganj,Dakatia,Hajiganj,23.2489,90.8613
SW276,Satnal,Surma-Meghna,Matlab Dakshin,23.4805,90.5932
SW79,Matlab Bazar,Dhanagoda,Matlab Uttar,23.3548,90.7098
SW250,Banigram,Sangu,Bashkhali,22.1217,91.8947
SW248,Dohazari,Sangu,Chandanaish,22.1593,92.0671
SW152.2,Kalurghat,Karnafuli,Chittagong Sadar,22.3946,91.8908
SW121,Enayethat,Halda,Chittagong Sadar,22.4197,91.8823
SW357,Akulia,Dhurang Khal,Fatikchhari,22.681,91.7778
SW356,Bainochhola,Dhurang Khal,Fatikchhari,22.7615,91.8685
SW117,Narayanhat,Halda,Fatikchhari,22.812,91.721
SW119.1,Panchpukuria,Halda,Fatikchhari,22.667,91.7821
SW120,Telpari,Halda,Hathazari,22.5575,91.8441
SW84.1,Kaliachari,Feni,Mirsharai,22.939,91.6157
SW125,Outfall Karnafuli(Rangunia),Ichamati(Rangamati),Rangunia,22.4594,92.0648
SW124,Thandachari,Ichamati(Rangamati),Rangunia,22.57,92.0404
SW206,Hatboalia,Mathabhanga,Alamdanga,23.8264,88.8626
SW204,Chiringa,Matamuhuri,Chakaria,21.771,92.0813
SW176,Lemsikhali,Kutubdia Channel,Kutubdia,21.8132,91.8752
SW200,Saflapur_Moheshkhali,Moheshkhali Channel,Maheshkhali,21.6594,91.9685
SW40,Ramu,Bogkhali,Ramu,21.4205,92.1098
SW358,Rongikhali,Naf,Teknaf,21.0484,92.2539
SW339,Salda Rly Bridg,Salda,Brahmanpara,23.6716,91.1564
SW113,Kangsanagar,Gumti-Burinadi,Burichang,23.5553,91.0647
SW181A,Selonia,Little Feni Dakatia,Chauddagram,22.9823,91.3375
SW334,Miar Bazar,Kakri,Chauddagram,23.3351,91.2693
SW181,Gunabati Rly.Br,Little Feni Dakatia,Chauddagram,23.1013,91.2778
SW109,Bibirbazar,Gumti-Burinadi,Cumilla Sadar,23.4706,91.2448
SW110,Cumilla,Gumti-Burinadi,Cumilla Sadar,23.4704,91.2027
SW348,Chowara,Sonaichari_Khal,Cumilla Sadar,23.4161,91.2207
SW115,Daudkandi,Gumti-Burinadi,Daudkandi,23.5405,90.7148
SW114,Jibanpur_Gumti,Gumti-Burinadi,Debidwar,23.6056,90.9942
SW179,Demra(Lakhya),Lakhya,Demra,23.7278,90.5059
SW7.5,Demra(Balu),Balu,Demra,23.7329,90.4965
SW42,Dhaka_Mill Barrack,Buriganga,Dhaka Sadar(Kotwal,23.6969,90.4195
SW70,Kalatia_Outfall,Dhaleswari,Keraniganj,23.7304,90.2561
SW302,Mirpur,Turag,Mirpur,23.7846,90.3364
SW69,Savar,Dhaleswari,Savar,23.8403,90.2439
SW14.5,Nayarhat,Bangshi,Savar,23.9057,90.231
SW299,Tongi,Tongi Khal,Uttara,23.8824,90.4021
SW101,Kamarkhali Transit,Gorai-Madhumati-Haringhata-Baleswar,Madhukhali,23.5391,89.5169
SW4A,Offtake of Arialkhan,Arial Khan,Sadarpur,23.4333,90.0877
SW213,Haripur_C,Muhuri,Chhagalnaiya,23.0356,91.4856
SW86,Shuvopur(Dhumghat),Feni,Chhagalnaiya,22.9538,91.5442
SW257,Malipur_C,Selonia,Chhagalnaiya,23.0377,91.4389
SW212,Parshuram,Muhuri,Parshuram,23.2274,91.4464
SW257.5,Suber Bazar,Selonia,Parshuram,23.237,91.4144
SW87,Sonapur,Feni,Sonagazi,22.8369,91.453
SW46.9R,Fulchari_Transit,Brahmaputra-Jamuna,Fulchhari,25.1871,89.5993
SW7,Pubail,Balu,Gazipur Sadar,23.9349,90.4898
SW301,Kaliakoir,Turag,Kaliakair,24.0822,90.2076
SW229,Toke,Old Brahmaputra,Sreepur,24.2631,90.6426
SW198,Haridaspur,Madaripur Beel Route,Gopalganj Sadar,23.0296,89.8144
SW271,Azmiriganj,Surma-Meghna,Ajmiriganj,24.5529,91.2267
SW138,Sofiabad,Korangi,Bahubal,24.293,91.5465
SW270,Markuli,Surma-Meghna,Baniachong,24.6952,91.379
SW157,Ballah,Khowai,Chunarughat,24.0838,91.5961
SW158,Chunarghat,Khowai,Chunarughat,24.2026,91.5273
SW159,Habiganj,Khowai,Habiganj Sadar,24.3681,91.4277
