city_name,sector_name,subsector name,longitude,latitude,gas_name,emissions_quantity,emissions_factor,units,year,Type of Emission
Dhaka,buildings,residential-onsite-fuel-usage,90.35663986,23.78322506,CO2,1934583.06,0.0001662796648,t of CO2e_20yr per MJ,2024,Emission
Chittagong,buildings,residential-onsite-fuel-usage,91.92721178,22.42351341,CO2,1036170.921,0.0001442394211,t of CO2e_20yr per MJ,2024,Emission
Mymensingh,buildings,residential-onsite-fuel-usage,90.41626793,24.72212601,CO2,746326.2552,0.0002166457425,t of CO2e_20yr per MJ,2024,Emission
Comilla,buildings,residential-onsite-fuel-usage,91.07641037,23.42176151,CO2,722849.9936,0.0001995084023,t of CO2e_20yr per MJ,2024,Emission
Gazipur,buildings,residential-onsite-fuel-usage,90.4077623,24.09239292,CO2,648636.1543,0.0001349789976,t of CO2e_20yr per MJ,2024,Emission
Sylhet,buildings,residential-onsite-fuel-usage,91.95828109,24.89030552,CO2,636109.5131,0.0002495166816,t of CO2e_20yr per MJ,2024,Emission
Tangail,buildings,residential-onsite-fuel-usage,90.00162472,24.37570572,CO2,529980.9287,0.0002044728322,t of CO2e_20yr per MJ,2024,Emission
Sunamganj,buildings,residential-onsite-fuel-usage,91.39011405,24.88646793,CO2,514000.018,0.0005191481951,t of CO2e_20yr per MJ,2024,Emission
Bogra,buildings,residential-onsite-fuel-usage,89.33140768,24.82984257,CO2,511464.3848,0.0001573579496,t of CO2e_20yr per MJ,2024,Emission
Dinajpur,buildings,residential-onsite-fuel-usage,88.72473914,25.64259434,CO2,488544.465,0.000218692,t of CO2e_20yr per MJ,2024,Emission
Naogaon,buildings,residential-onsite-fuel-usage,88.73828018,24.87316799,CO2,486194.5084,0.0001867924601,t of CO2e_20yr per MJ,2024,Emission
Kishoreganj,buildings,residential-onsite-fuel-usage,90.92785766,24.33687305,CO2,474323.3554,0.0003588849638,t of CO2e_20yr per MJ,2024,Emission
Jessore,buildings,residential-onsite-fuel-usage,89.12588422,23.08486843,CO2,472214.2204,0.0002114619396,t of CO2e_20yr per MJ,2024,Emission
Noakhali,buildings,residential-onsite-fuel-usage,91.11936714,22.81587782,CO2,457822.8823,0.0003451028655,t of CO2e_20yr per MJ,2024,Emission
Brahamanbaria,buildings,residential-onsite-fuel-usage,91.11221975,23.95706463,CO2,443057.0138,0.0002557174432,t of CO2e_20yr per MJ,2024,Emission
