sunshine_station_name,district_id
Ambagan,BD2015
Barisal,BD1006
Bhola,BD1009
Bogura,BD5010
Chandpur,BD2013
Chittagong,BD2015
chuadanga,BD4018
Comilla,BD2019
Cox's Bazar,BD2022
Dhaka,BD3026
Dinajpur,BD5527
Faridpur,BD3029
Feni,BD2030
Gazipur,BD3033
Hatiya,BD2075
Ishurdi,BD5076
Jessore,BD4041
Khepupara,BD1078
Khulna,BD4047
Kutubdia,BD2022
M.court,BD2075
Madaripur,BD3054
Mongla,BD4001
Mymensingh,BD4561
Patuakhali,BD1078
Rajshahi,BD5081
Rangamati,BD2084
Rangpur,BD5585
Sandwip,BD2015
Satkhira,BD4087
Sitakunda,BD2015
Srimangal,BD6058
sydpur,BD5573
Sylhet,BD6091
Tangail,BD3093
Teknaf,BD2022
