year,mean_sur_temp_cel,5year_gaussian_smooth_mean,max _sur_temp_cel,5year_gaussian_smooth_max,min_sur_temp_cel,5year_gaussian_smooth_min,Country_name
1901,25.28,25.21,30.03,29.91,20.57,20.55,Bangladesh
1902,25.16,25.18,29.95,29.89,20.41,20.51,Bangladesh
1903,25.29,25.15,29.89,29.87,20.72,20.48,Bangladesh
1904,25.01,25.12,29.75,29.85,20.31,20.44,Bangladesh
1905,24.69,25.1,29.28,29.83,20.14,20.41,Bangladesh
1906,25.2,25.08,29.73,29.82,20.72,20.39,Bangladesh
1907,25.1,25.07,29.98,29.82,20.26,20.37,Bangladesh
1908,25.31,25.07,30.32,29.82,20.35,20.37,Bangladesh
1909,25.31,25.08,30.09,29.83,20.58,20.37,Bangladesh
1910,24.96,25.08,29.74,29.83,20.23,20.38,Bangladesh
1911,24.96,25.09,29.66,29.83,20.31,20.39,Bangladesh
1912,25.11,25.09,29.8,29.82,20.47,20.41,Bangladesh
1913,24.85,25.09,29.46,29.81,20.29,20.43,Bangladesh
1914,24.97,25.09,29.79,29.79,20.2,20.45,Bangladesh
1915,25.56,25.1,30.15,29.79,21.02,20.47,Bangladesh
1916,25.29,25.12,29.88,29.79,20.75,20.51,Bangladesh
1917,24.87,25.16,29.51,29.82,20.28,20.55,Bangladesh
1918,24.97,25.21,29.69,29.88,20.3,20.6,Bangladesh
1919,25.37,25.27,30.17,29.95,20.62,20.65,Bangladesh
1920,25.42,25.34,30.11,30.02,20.77,20.7,Bangladesh
1921,25.45,25.39,30.11,30.09,20.84,20.74,Bangladesh
1922,25.48,25.42,30.29,30.13,20.72,20.76,Bangladesh
1923,25.45,25.42,30.16,30.13,20.79,20.75,Bangladesh
1924,25.65,25.39,30.22,30.11,21.13,20.73,Bangladesh
1925,24.83,25.35,29.45,30.07,20.27,20.69,Bangladesh
1926,25.28,25.31,30.03,30.03,20.59,20.64,Bangladesh
1927,25.2,25.28,29.99,30.01,20.47,20.6,Bangladesh
1928,25.5,25.27,30.39,30.02,20.66,20.57,Bangladesh
1929,25.3,25.29,30.14,30.08,20.51,20.56,Bangladesh
